,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
NJSC201804,11,New York,NJSC,New Jersey Service Center,201804,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201805,11,New York,NJSC,New Jersey Service Center,201805,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201806,11,New York,NJSC,New Jersey Service Center,201806,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201807,11,New York,NJSC,New Jersey Service Center,201807,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,,,,
NJSC201808,11,New York,NJSC,New Jersey Service Center,201808,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201809,11,New York,NJSC,New Jersey Service Center,201809,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201810,11,New York,NJSC,New Jersey Service Center,201810,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201811,11,New York,NJSC,New Jersey Service Center,201811,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201812,11,New York,NJSC,New Jersey Service Center,201812,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201901,11,New York,NJSC,New Jersey Service Center,201901,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201902,11,New York,NJSC,New Jersey Service Center,201902,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201903,11,New York,NJSC,New Jersey Service Center,201903,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
PHPA201701,11,New York,PHPA,Philadelphia,201701,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,23.5,23.0,22.0
PHPA201702,11,New York,PHPA,Philadelphia,201702,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201703,11,New York,PHPA,Philadelphia,201703,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201704,11,New York,PHPA,Philadelphia,201704,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201705,11,New York,PHPA,Philadelphia,201705,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201706,11,New York,PHPA,Philadelphia,201706,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,29.0,28.0,25.0
PHPA201707,11,New York,PHPA,Philadelphia,201707,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201708,11,New York,PHPA,Philadelphia,201708,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201709,11,New York,PHPA,Philadelphia,201709,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201710,11,New York,PHPA,Philadelphia,201710,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201711,11,New York,PHPA,Philadelphia,201711,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201712,11,New York,PHPA,Philadelphia,201712,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
PHPA201801,11,New York,PHPA,Philadelphia,201801,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
PHPA201802,11,New York,PHPA,Philadelphia,201802,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201803,11,New York,PHPA,Philadelphia,201803,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201804,11,New York,PHPA,Philadelphia,201804,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201805,11,New York,PHPA,Philadelphia,201805,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,28.5,28.0,25.0
PHPA201806,11,New York,PHPA,Philadelphia,201806,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201807,11,New York,PHPA,Philadelphia,201807,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,31.5,30.5,26.5
PHPA201808,11,New York,PHPA,Philadelphia,201808,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,28.5,28.0,25.0
PHPA201809,11,New York,PHPA,Philadelphia,201809,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,31.5,30.5,26.5
PHPA201810,11,New York,PHPA,Philadelphia,201810,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,29.0,28.0,25.0
PHPA201811,11,New York,PHPA,Philadelphia,201811,30.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,26.5,26.5,24.5
PHPA201812,11,New York,PHPA,Philadelphia,201812,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201901,11,New York,PHPA,Philadelphia,201901,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
PHPA201902,11,New York,PHPA,Philadelphia,201902,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,23.5,23.0,22.0
PHPA201903,11,New York,PHPA,Philadelphia,201903,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,23.5,23.0,22.0
TENJ201701,11,New York,TENJ,Teterboro,201701,,,,,,,,,,,,
TENJ201702,11,New York,TENJ,Teterboro,201702,,,,,,,,,,,,
TENJ201703,11,New York,TENJ,Teterboro,201703,,,,,,,,,,,,
TENJ201704,11,New York,TENJ,Teterboro,201704,,,,,,,,,,,,
TENJ201705,11,New York,TENJ,Teterboro,201705,,,,,,,,,,,,
TENJ201706,11,New York,TENJ,Teterboro,201706,,,,,,,,,,,,
TENJ201707,11,New York,TENJ,Teterboro,201707,,,,,,,,,,,,
